,Item,Price,Other_Info,Location,Store
24,Giant Sweet Cream Butter Salted Sticks - 4 ct,3.19,1 lb box | $3.19 / lb,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
25,Giant Potatoes Russet,2.99,5 lb bag | $0.04 / oz,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
26,Oranges Navel,0.88,1 ea | $0.88 / ea,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
27,Giant Tomato Sauce,0.49,8 oz can | $0.06 / oz,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
28,Giant Ground Beef 80% Lean Fresh,4.79,apx 1.2 lb | $3.99 / lb,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
29,Giant 4 Cheese Mexican Blend Finely Shredded Natural,2.0,8 oz bag | $4.00 / lb,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
30,Giant Yogurt Vanilla Non Fat,2.19,32 oz tub | $0.07 / oz,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
31,Giant Shredded Wheat Cereal Bite Size 100% Natural,2.49,16.4 oz box | $0.15 / oz,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
32,Giant Whole Vitamin D Milk,3.79,1 gallon | $0.03 / oz,"3115 Lee Hwy., Arlington, VA 22201",Giant
33,Giant White Eggs Grade A Large,1.49,1.5 doz | $0.99 / doz,"3115 Lee Hwy., Arlington, VA 22201",Giant
34,Giant Bagels Plain Pre-Sliced - 6 ct,2.49,20 oz pkg | $0.12 / oz,"3115 Lee Hwy., Arlington, VA 22201",Giant
35,Giant Sandwich White Enriched Bread,0.99,20 oz pkg | $0.05 / oz,"3115 Lee Hwy., Arlington, VA 22201",Giant
36,Giant Pasta Penne Rigate,0.99,16 oz box | $0.06 / oz,"3115 Lee Hwy., Arlington, VA 22201",Giant
37,Apples Gala,1.07,1 ea | $1.07 / ea,"3115 Lee Hwy., Arlington, VA 22201",Giant
38,Shady Brook Farms Ground Turkey 85% Lean 15% Fat,3.49,16 oz pkg | $3.49 / lb,"3115 Lee Hwy., Arlington, VA 22201",Giant
39,Giant Honey Smoked Uncured Ham Thin Sliced,2.99,9 oz tub | $5.34 / lb,"3115 Lee Hwy., Arlington, VA 22201",Giant
40,Giant Sweet Cream Butter Salted Sticks - 4 ct,3.19,1 lb box | $3.19 / lb,"3115 Lee Hwy., Arlington, VA 22201",Giant
41,Giant Potatoes Russet,2.99,5 lb bag | $0.04 / oz,"3115 Lee Hwy., Arlington, VA 22201",Giant
42,Oranges Navel,0.88,1 ea | $0.88 / ea,"3115 Lee Hwy., Arlington, VA 22201",Giant
43,Giant Tomato Sauce,0.49,8 oz can | $0.06 / oz,"3115 Lee Hwy., Arlington, VA 22201",Giant
44,Giant Ground Beef 80% Lean Fresh,4.79,apx 1.2 lb | $3.99 / lb,"3115 Lee Hwy., Arlington, VA 22201",Giant
45,Giant 4 Cheese Mexican Blend Finely Shredded Natural,2.0,8 oz bag | $4.00 / lb,"3115 Lee Hwy., Arlington, VA 22201",Giant
46,Giant Yogurt Vanilla Non Fat,2.19,32 oz tub | $0.07 / oz,"3115 Lee Hwy., Arlington, VA 22201",Giant
47,Giant Cereal Shredded Wheat Frosted Bite Size,2.49,18 oz box | $0.14 / oz,"3115 Lee Hwy., Arlington, VA 22201",Giant
48,Giant Whole Vitamin D Milk,3.79,1 gallon | $0.03 / oz,"3450 Washington Blvd., Arlington, VA 22201",Giant
49,Giant White Eggs Grade A Large,1.49,1.5 doz | $0.99 / doz,"3450 Washington Blvd., Arlington, VA 22201",Giant
50,Giant Bagels Plain Pre-Sliced - 6 ct,2.49,20 oz pkg | $0.12 / oz,"3450 Washington Blvd., Arlington, VA 22201",Giant
51,Giant Sandwich White Enriched Bread,0.99,20 oz pkg | $0.05 / oz,"3450 Washington Blvd., Arlington, VA 22201",Giant
52,Giant Pasta Penne Rigate,0.99,16 oz box | $0.06 / oz,"3450 Washington Blvd., Arlington, VA 22201",Giant
53,Apples Gala,1.07,1 ea | $1.07 / ea,"3450 Washington Blvd., Arlington, VA 22201",Giant
54,Shady Brook Farms Ground Turkey 85% Lean 15% Fat,3.49,16 oz pkg | $3.49 / lb,"3450 Washington Blvd., Arlington, VA 22201",Giant
55,Giant Honey Smoked Uncured Ham Thin Sliced,2.99,9 oz tub | $5.34 / lb,"3450 Washington Blvd., Arlington, VA 22201",Giant
56,Giant Sweet Cream Butter Salted Sticks - 4 ct,3.19,1 lb box | $3.19 / lb,"3450 Washington Blvd., Arlington, VA 22201",Giant
57,Giant Potatoes Russet,2.99,5 lb bag | $0.04 / oz,"3450 Washington Blvd., Arlington, VA 22201",Giant
58,Oranges Navel,0.88,1 ea | $0.88 / ea,"3450 Washington Blvd., Arlington, VA 22201",Giant
59,Giant Tomato Sauce,0.49,8 oz can | $0.06 / oz,"3450 Washington Blvd., Arlington, VA 22201",Giant
60,Giant Ground Beef 80% Lean Fresh,4.79,apx 1.2 lb | $3.99 / lb,"3450 Washington Blvd., Arlington, VA 22201",Giant
61,Giant 4 Cheese Mexican Blend Finely Shredded Natural,2.0,8 oz bag | $4.00 / lb,"3450 Washington Blvd., Arlington, VA 22201",Giant
62,Giant Yogurt Vanilla Non Fat,2.19,32 oz tub | $0.07 / oz,"3450 Washington Blvd., Arlington, VA 22201",Giant
63,Giant Cereal Shredded Wheat Frosted Bite Size,2.49,18 oz box | $0.14 / oz,"3450 Washington Blvd., Arlington, VA 22201",Giant
64,Giant Whole Vitamin D Milk,3.49,1 gallon | $0.03 / oz,"621 East Glebe Road, Alexandria, VA 22305",Giant
65,Giant White Eggs Grade A Large,1.49,1.5 doz | $0.99 / doz,"621 East Glebe Road, Alexandria, VA 22305",Giant
66,Giant Bagels Plain Pre-Sliced - 6 ct,2.49,20 oz pkg | $0.12 / oz,"621 East Glebe Road, Alexandria, VA 22305",Giant
67,Giant Sandwich White Enriched Bread,0.99,20 oz pkg | $0.05 / oz,"621 East Glebe Road, Alexandria, VA 22305",Giant
68,Giant Pasta Penne Rigate,0.99,16 oz box | $0.06 / oz,"621 East Glebe Road, Alexandria, VA 22305",Giant
69,Apples Gala,1.07,1 ea | $1.07 / ea,"621 East Glebe Road, Alexandria, VA 22305",Giant
70,Butterball Ground Turkey 85% Lean All Natural,3.79,16 oz pkg | $3.79 / lb,"621 East Glebe Road, Alexandria, VA 22305",Giant
71,Giant Honey Smoked Uncured Ham Thin Sliced,2.99,9 oz tub | $5.34 / lb,"621 East Glebe Road, Alexandria, VA 22305",Giant
72,Giant Sweet Cream Butter Salted Sticks - 4 ct,2.79,1 lb box | $2.79 / lb,"621 East Glebe Road, Alexandria, VA 22305",Giant
73,Giant Potatoes Russet,2.99,5 lb bag | $0.04 / oz,"621 East Glebe Road, Alexandria, VA 22305",Giant
74,Oranges Navel,0.88,1 ea | $0.88 / ea,"621 East Glebe Road, Alexandria, VA 22305",Giant
75,Giant Tomato Sauce,0.49,8 oz can | $0.06 / oz,"621 East Glebe Road, Alexandria, VA 22305",Giant
76,Giant Ground Beef 80% Lean Fresh,4.79,apx 1.2 lb | $3.99 / lb,"621 East Glebe Road, Alexandria, VA 22305",Giant
77,Giant 4 Cheese Mexican Blend Finely Shredded Natural,2.0,8 oz bag | $4.00 / lb,"621 East Glebe Road, Alexandria, VA 22305",Giant
78,Giant Yogurt Vanilla Non Fat,2.19,32 oz tub | $0.07 / oz,"621 East Glebe Road, Alexandria, VA 22305",Giant
79,Giant Cereal Shredded Wheat Frosted Bite Size,2.39,18 oz box | $0.13 / oz,"621 East Glebe Road, Alexandria, VA 22305",Giant
80,Giant Whole Vitamin D Milk,3.29,1 gallon | $0.03 / oz,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
81,Giant White Eggs Grade A Large,1.49,1.5 doz | $0.99 / doz,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
82,Giant Bagels Plain Pre-Sliced - 6 ct,2.49,20 oz pkg | $0.12 / oz,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
83,Giant Sandwich White Enriched Bread,0.99,20 oz pkg | $0.05 / oz,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
84,Giant Pasta Penne Rigate,0.99,16 oz box | $0.06 / oz,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
85,Apples Gala,1.07,1 ea | $1.07 / ea,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
86,Butterball Ground Turkey 85% Lean All Natural,3.79,16 oz pkg | $3.79 / lb,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
87,Giant Honey Smoked Uncured Ham Thin Sliced,2.99,9 oz tub | $5.34 / lb,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
88,Giant Sweet Cream Butter Salted Sticks - 4 ct,3.49,1 lb box | $3.49 / lb,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
89,Giant Potatoes Russet,2.99,5 lb bag | $0.04 / oz,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
90,Oranges Navel,0.88,1 ea | $0.88 / ea,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
91,Giant Tomato Sauce,0.49,8 oz can | $0.06 / oz,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
92,Giant Ground Beef 80% Lean Fresh,4.79,apx 1.2 lb | $3.99 / lb,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
93,Giant 4 Cheese Mexican Blend Finely Shredded Natural,2.0,8 oz bag | $4.00 / lb,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
94,Giant Yogurt Vanilla Non Fat,2.19,32 oz tub | $0.07 / oz,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
95,Giant Cereal Shredded Wheat Frosted Bite Size,2.49,18 oz box | $0.14 / oz,"6360 Seven Corners Ctr, Falls Church, VA 22044",Giant
96,Harris Teeter 3.25% Milk Fat Whole Milk,3.99,1 gallon  | $3.99/gallon,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
97,Harris Teeter Grade A Large White Eggs,1.99,12 each  | $0.17,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
98,"Thomas' Plain Bagel Thins, 110 Calories, 8 count,",4.49,13 oz  | $0.35/oz,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
99,Harris Teeter Old Fashioned Bread,1.29,20 oz  | $0.06/oz,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
100,Harris Teeter Penne Rigate,0.99,16 oz  | $0.06/oz,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
101,Fresh Gala Apple,1.56,10 oz (avg.)  | $2.49/lb,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
102,Plainville Farms 94% Ground Turkey - Antibiotic Free,6.49,16 oz  | $0.41/oz,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
103,Oscar Mayer Honey Ham,4.39,9 oz | $0.49/oz,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
104,"Harris Teeter Butter, with Olive Oil, Spreadable",3.49,15 oz  | $0.23/oz,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
105,Harris Teeter Russet Potatoes,3.99,5 lb  | $0.80/lb,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
106,Fresh Navel Orange - Large,0.89,1 ct  | $0.89/each,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
107,Harris Teeter Tomato Sauce,0.49,8 oz  | $0.06/oz,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
108,Harris Teeter 80% Lean Ground Chuck,3.99,1.5 lb  | $3.99/lb,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
109,Harris Teeter Fancy Shredded Parmesan Cheese,3.39,6 oz  | $0.57/oz,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
110,Harris Teeter Nonfat Plain Yogurt,1.99,32 oz  | $0.06/oz,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
111,"Harris Teeter Cereal, Corn Flakes",1.49,18 oz  | $0.08/oz,"1631 Kalorama Rd NW Suite 100
Washington DC, 20009
(202) 986-1415
Store Hours: 7am-11pm
Details >",Harris Teeter
112,Harris Teeter 3.25% Milk Fat Whole Milk,3.89,1 gallon  | $3.89/gallon,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
113,Harris Teeter Grade A Large White Eggs,2.29,12 each  | $0.19,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
114,"Thomas' Plain Bagel Thins, 110 Calories, 8 count,",4.49,13 oz  | $0.35/oz,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
115,Harris Teeter Old Fashioned Bread,1.29,20 oz  | $0.06/oz,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
116,Harris Teeter Penne Rigate,0.99,16 oz  | $0.06/oz,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
117,Fresh Gala Apple,1.56,10 oz (avg.)  | $2.49/lb,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
118,Plainville Farms 94% Ground Turkey - Antibiotic Free,6.49,16 oz  | $0.41/oz,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
119,Oscar Mayer Honey Ham,4.39,9 oz | $0.49/oz,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
120,"Harris Teeter Butter, with Olive Oil, Spreadable",3.49,15 oz  | $0.23/oz,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
121,Harris Teeter Russet Potatoes,3.99,5 lb  | $0.80/lb,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
122,Fresh Navel Orange - Large,0.89,1 ct  | $0.89/each,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
123,Harris Teeter Tomato Sauce,0.49,8 oz  | $0.06/oz,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
124,Harris Teeter Ground Beef Chuck,3.99,1 lb (avg.)  | $3.99/lb,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
125,Harris Teeter Fancy Shredded 4 Cheese Blend Mexican Cheese,3.39,8 oz  | $0.42/oz,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
126,Harris Teeter Nonfat Plain Yogurt,1.99,32 oz  | $0.06/oz,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
127,"Harris Teeter Cereal, Corn Flakes",1.49,18 oz  | $0.08/oz,"2425 N. Harrison St
Arlington VA, 22207
(703) 532-8663
Store Hours: 6am-11pm
Details >",Harris Teeter
128,Harris Teeter 3.25% Milk Fat Whole Milk,3.79,1 gallon  | $3.79/gallon,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
129,Harris Teeter Grade A Large White Eggs,1.79,12 each  | $0.15,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
130,"Thomas' Plain Bagel Thins, 110 Calories, 8 count,",4.49,13 oz  | $0.35/oz,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
131,Harris Teeter Old Fashioned Bread,1.29,20 oz  | $0.06/oz,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
132,Harris Teeter Penne Rigate,0.99,16 oz  | $0.06/oz,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
133,Fresh Gala Apple,1.56,10 oz (avg.)  | $2.49/lb,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
134,Plainville Farms 94% Ground Turkey - Antibiotic Free,6.49,16 oz  | $0.41/oz,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
135,Oscar Mayer Honey Ham,4.39,9 oz | $0.49/oz,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
136,"Harris Teeter Butter, with Olive Oil, Spreadable",3.49,15 oz  | $0.23/oz,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
137,Harris Teeter Russet Potatoes,3.99,5 lb  | $0.80/lb,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
138,Fresh Navel Orange - Large,0.89,1 ct  | $0.89/each,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
139,Harris Teeter Tomato Sauce,0.49,8 oz  | $0.06/oz,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
140,Harris Teeter 80% Lean Ground Chuck,3.99,1.5 lb  | $3.99/lb,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
141,Harris Teeter Fancy Shredded 4 Cheese Blend Mexican Cheese,3.39,8 oz  | $0.42/oz,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
142,Harris Teeter Nonfat Plain Yogurt,1.99,32 oz  | $0.06/oz,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
143,"Harris Teeter Cereal, Corn Flakes",1.49,18 oz  | $0.08/oz,"301 West Broad
Falls Church VA, 22046
(571) 419-6869
Store Hours: 6am-11pm
Details >",Harris Teeter
144,Harris Teeter 3.25% Milk Fat Whole Milk,4.19,1 gallon  | $4.19/gallon,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
145,Harris Teeter Grade A Large White Eggs,1.99,12 each  | $0.17,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
146,"Thomas' Plain Bagel Thins, 110 Calories, 8 count,",4.49,13 oz  | $0.35/oz,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
147,Harris Teeter Old Fashioned Bread,1.59,20 oz  | $0.08/oz,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
148,Harris Teeter Penne Rigate,0.99,16 oz  | $0.06/oz,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
149,Fresh Gala Apple,1.56,10 oz (avg.)  | $2.49/lb,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
150,Plainville Farms 94% Ground Turkey - Antibiotic Free,6.49,16 oz  | $0.41/oz,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
151,Oscar Mayer Honey Ham,4.39,9 oz | $0.49/oz,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
152,"Harris Teeter Butter, with Olive Oil, Spreadable",3.49,15 oz  | $0.23/oz,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
153,Harris Teeter Russet Potatoes,3.99,5 lb  | $0.80/lb,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
154,Fresh Navel Orange - Large,0.89,1 ct  | $0.89/each,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
155,Harris Teeter Tomato Sauce,0.49,8 oz  | $0.06/oz,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
156,Harris Teeter 80% Lean Ground Chuck,3.99,1.5 lb  | $3.99/lb,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
157,Harris Teeter Fancy Shredded 4 Cheese Blend Mexican Cheese,3.39,8 oz  | $0.42/oz,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
158,Harris Teeter Nonfat Plain Yogurt,1.99,32 oz  | $0.06/oz,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
159,"Harris Teeter Cereal, Corn Flakes",1.49,18 oz  | $0.08/oz,"3600 S Glebe Rd
Arlington VA, 22202
(703) 412-1544
Store Hours: 6am-11pm
Details >",Harris Teeter
160,Harris Teeter 3.25% Milk Fat Whole Milk,3.99,1 gallon  | $3.99/gallon,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
161,Harris Teeter Grade A Large White Eggs,1.99,12 each  | $0.17,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
162,Thomas Plain Mini Bagels 10 ct,4.49,10 each  | $0.45,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
163,Harris Teeter Old Fashioned Bread,1.29,20 oz  | $0.06/oz,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
164,Harris Teeter Penne Rigate,0.99,16 oz  | $0.06/oz,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
165,Fresh Gala Apple,1.56,10 oz (avg.)  | $2.49/lb,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
166,Plainville Farms 94% Ground Turkey - Antibiotic Free,6.49,16 oz  | $0.41/oz,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
167,Oscar Mayer Honey Ham,4.39,9 oz | $0.49/oz,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
168,"Harris Teeter Butter, with Olive Oil, Spreadable",3.49,15 oz  | $0.23/oz,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
169,Harris Teeter Russet Potatoes,3.99,5 lb  | $0.80/lb,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
170,Fresh Navel Orange - Large,0.89,1 ct  | $0.89/each,"401 M Street SE
Washington DC, 20003
202-554-0164
Store Hours: 6am-11pm
Details >",Harris Teeter
