,Item,Price,Other_Info,Location,Store
0,Avocados Hass,1.25,1 ea | $1.25 / ea,"2501 9th Road South, Arlington, VA 22204",Giant
1,Giant Beets Sliced No Salt Added,1.49,15 oz jar | $0.10 / oz,"2501 9th Road South, Arlington, VA 22204",Giant
2,Nature's Promise Organic Black Beans Low Sodium,0.99,15.5 oz can | $0.06 / oz,"2501 9th Road South, Arlington, VA 22204",Giant
3,Giant 4 Cheese Mexican Blend Finely Shredded Natural,2.0,8 oz bag | $4.00 / lb,"2501 9th Road South, Arlington, VA 22204",Giant
4,Giant White Corn Tortillas Soft 6 Inch - 16 ct,0.99,16 oz pkg | $0.06 / oz,"2501 9th Road South, Arlington, VA 22204",Giant
5,Old El Paso Green Chiles Chopped Mild,1.99,7 oz can | $0.28 / oz,"2501 9th Road South, Arlington, VA 22204",Giant
6,Jalapeno Peppers,0.19,1 ea | $0.19 / ea,"2501 9th Road South, Arlington, VA 22204",Giant
7,Goya Garbanzos Beans Chick Peas Low Sodium,1.0,15.5 oz can | $0.06 / oz,"2501 9th Road South, Arlington, VA 22204",Giant
8,Masa Brosa Instant Corn Masa,2.59,4 lb bag | $0.04 / oz,"2501 9th Road South, Arlington, VA 22204",Giant
9,Giant Mixed Fruit Large Fresh,5.99,apx 1 lb | $5.99 / lb,"2501 9th Road South, Arlington, VA 22204",Giant
10,Bell Peppers Green,0.88,1 ea | $0.88 / ea,"2501 9th Road South, Arlington, VA 22204",Giant
11,Goya Pinto Beans Low Sodium,1.0,15.5 oz can | $0.06 / oz,"2501 9th Road South, Arlington, VA 22204",Giant
12,Giant White Rice Long Grain Enriched,11.29,20 lb bag | $0.04 / oz,"2501 9th Road South, Arlington, VA 22204",Giant
13,Pace Chunky Salsa Medium,3.59,24 oz jar | $0.15 / oz,"2501 9th Road South, Arlington, VA 22204",Giant
14,Zucchini Squash,1.66,1 ea | $1.66 / ea,"2501 9th Road South, Arlington, VA 22204",Giant
15,Tomatillos,0.37,1 ea | $0.37 / ea,"2501 9th Road South, Arlington, VA 22204",Giant
16,Tomatoes on the Vine,0.67,1 ea | $0.67 / ea,"2501 9th Road South, Arlington, VA 22204",Giant
17,Avocados Hass,1.25,1 ea | $1.25 / ea,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
18,Giant Beets Sliced No Salt Added,1.49,15 oz jar | $0.10 / oz,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
19,Nature's Promise Organic Black Beans Low Sodium,0.99,15.5 oz can | $0.06 / oz,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
20,Giant 4 Cheese Mexican Blend Finely Shredded Natural,2.0,8 oz bag | $4.00 / lb,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
21,Giant Tortilla Chips Restaurant Style 100% White Corn,2.49,13 oz bag | $0.19 / oz,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
